shotkey,team_id,agi,goal,shoot
20260406,12,59.0,1.33,15.78
20260406,19,55.6,1.11,13.11
20260406,9,55.4,1.0,12.78
20260406,15,54.1,1.56,15.0
20260406,10,53.0,1.33,15.33
20260406,6,52.9,1.1,10.6
20260406,1,52.4,1.44,12.22
20260406,4,51.0,1.33,11.78
20260406,5,50.8,1.44,13.78
20260406,16,50.1,0.78,12.11
20260406,14,49.7,1.8,13.1
20260406,7,49.6,0.78,11.56
20260406,3,48.4,1.44,13.22
20260406,18,47.7,1.3,11.5
20260406,17,47.2,1.3,14.6
20260406,33,47.0,1.0,11.78
20260406,11,45.8,1.78,12.22
20260406,34,44.4,1.0,11.67
20260406,13,43.6,1.22,8.33
20260406,39,42.4,1.11,10.67
20260406,43,63.9,1.11,15.67
20260406,23,60.7,1.44,15.33
20260406,41,59.6,0.56,15.22
20260406,35,57.4,2.11,18.89
20260406,22,57.4,1.22,12.11
20260406,53,56.6,1.89,12.67
20260406,51,56.3,0.38,13.75
20260406,24,56.0,2.56,17.44
20260406,28,54.5,0.89,13.56
20260406,59,53.5,1.67,13.89
20260406,25,52.7,1.22,10.33
20260406,47,52.0,0.78,12.67
20260406,20,51.2,1.67,15.22
20260406,31,50.9,1.56,14.0
20260406,36,50.7,1.33,11.44
20260406,26,50.4,0.56,11.89
20260406,52,50.2,1.5,11.38
20260406,40,50.1,1.22,13.11
20260406,21,49.9,0.78,12.0
20260406,46,49.9,1.89,12.22
20260406,8,49.4,1.78,12.22
20260406,2,49.1,1.11,8.89
20260406,42,48.7,1.0,10.11
20260406,55,48.3,2.0,13.0
20260406,30,48.3,1.11,12.22
20260406,49,48.3,0.78,10.44
20260406,27,47.8,1.0,12.33
20260406,38,46.2,0.56,9.22
20260406,48,46.2,1.44,11.11
20260406,61,46.2,0.63,9.0
20260406,58,46.2,0.78,10.33
20260406,54,45.8,0.78,11.78
20260406,29,45.7,1.0,13.44
20260406,50,45.7,0.78,8.11
20260406,37,45.0,2.44,11.78
20260406,57,45.0,1.78,12.56
20260406,45,44.8,1.22,9.33
20260406,32,43.5,1.11,9.0
20260406,44,41.7,0.89,8.89
20260406,60,32.6,0.63,9.5
