shotkey,team_id,dribble_points,game_average,recentry5
20260406,10,18.81,2.09,10.31
20260406,18,14.0,1.4,9.1
20260406,1,13.36,1.48,8.03
20260406,3,13.31,1.48,6.93
20260406,5,13.25,1.47,7.77
20260406,15,12.65,1.41,8.41
20260406,17,12.62,1.26,5.75
20260406,39,12.52,1.39,5.08
20260406,4,12.27,1.36,5.62
20260406,16,12.25,1.36,8.22
20260406,7,11.18,1.24,7.14
20260406,33,10.57,1.17,6.78
20260406,9,10.24,1.14,4.96
20260406,34,10.19,1.13,5.49
20260406,12,9.48,1.05,5.67
20260406,19,9.12,1.01,5.13
20260406,14,8.62,0.86,2.95
20260406,6,7.54,0.75,2.97
20260406,11,6.97,0.77,4.57
20260406,13,6.02,0.67,3.17
20260406,35,17.41,1.93,10.81
20260406,29,14.69,1.63,10.7
20260406,8,14.42,1.6,9.09
20260406,53,14.14,1.57,8.46
20260406,24,13.99,1.55,6.19
20260406,31,13.82,1.54,7.46
20260406,42,13.74,1.53,8.9
20260406,37,13.36,1.48,5.86
20260406,20,12.97,1.44,8.21
20260406,59,12.94,1.44,9.86
20260406,36,12.76,1.42,6.64
20260406,52,12.23,1.53,6.8
20260406,54,11.85,1.32,5.98
20260406,41,11.84,1.32,4.59
20260406,30,11.81,1.31,4.77
20260406,48,11.53,1.28,6.15
20260406,27,10.83,1.2,5.74
20260406,47,10.17,1.13,7.18
20260406,46,10.07,1.12,6.21
20260406,28,9.68,1.08,5.15
20260406,45,9.5,1.06,6.4
20260406,25,9.31,1.03,5.68
20260406,23,9.18,1.02,4.14
20260406,44,9.11,1.01,3.76
20260406,38,8.97,1.0,6.51
20260406,43,8.9,0.99,4.33
20260406,26,8.76,0.97,5.96
20260406,50,8.58,0.95,3.71
20260406,49,8.54,0.95,3.04
20260406,40,8.29,0.92,3.94
20260406,21,8.28,0.92,5.52
20260406,32,8.01,0.89,4.73
20260406,22,7.87,0.87,4.82
20260406,2,7.77,0.86,3.56
20260406,60,6.77,0.85,4.12
20260406,55,6.26,0.7,5.02
20260406,58,6.21,0.69,4.61
20260406,51,6.2,0.77,3.88
20260406,57,6.03,0.67,3.5
20260406,61,5.28,0.66,3.2
