shotkey,team_id,expected_goals,goal,diff
20260406,10,1.838,1.33,-0.508
20260406,14,1.643,1.8,0.157
20260406,15,1.587,1.56,-0.027
20260406,5,1.579,1.44,-0.139
20260406,11,1.551,1.78,0.229
20260406,12,1.542,1.33,-0.212
20260406,17,1.529,1.3,-0.229
20260406,4,1.335,1.33,-0.005
20260406,9,1.319,1.0,-0.319
20260406,1,1.315,1.44,0.125
20260406,3,1.296,1.44,0.144
20260406,7,1.276,0.78,-0.496
20260406,34,1.27,1.0,-0.27
20260406,6,1.262,1.1,-0.162
20260406,19,1.208,1.11,-0.098
20260406,18,1.173,1.3,0.127
20260406,16,1.117,0.78,-0.337
20260406,33,1.105,1.0,-0.105
20260406,39,1.097,1.11,0.013
20260406,13,0.814,1.22,0.406
20260406,24,1.957,2.56,0.603
20260406,35,1.8,2.11,0.31
20260406,43,1.739,1.11,-0.629
20260406,23,1.692,1.44,-0.252
20260406,59,1.665,1.67,0.005
20260406,40,1.643,1.22,-0.423
20260406,53,1.596,1.89,0.294
20260406,41,1.516,0.56,-0.956
20260406,20,1.484,1.67,0.186
20260406,55,1.43,2.0,0.57
20260406,22,1.377,1.22,-0.157
20260406,54,1.368,0.78,-0.588
20260406,21,1.355,0.78,-0.575
20260406,28,1.347,0.89,-0.457
20260406,36,1.327,1.33,0.003
20260406,48,1.291,1.44,0.149
20260406,51,1.284,0.38,-0.904
20260406,27,1.283,1.0,-0.283
20260406,26,1.261,0.56,-0.701
20260406,47,1.261,0.78,-0.481
20260406,29,1.247,1.0,-0.247
20260406,31,1.246,1.56,0.314
20260406,37,1.231,2.44,1.209
20260406,57,1.21,1.78,0.57
20260406,46,1.201,1.89,0.689
20260406,8,1.169,1.78,0.611
20260406,30,1.151,1.11,-0.041
20260406,52,1.057,1.5,0.443
20260406,2,0.995,1.11,0.115
20260406,42,0.987,1.0,0.013
20260406,49,0.982,0.78,-0.202
20260406,38,0.955,0.56,-0.395
20260406,45,0.95,1.22,0.27
20260406,44,0.946,0.89,-0.056
20260406,58,0.936,0.78,-0.156
20260406,25,0.902,1.22,0.318
20260406,32,0.86,1.11,0.25
20260406,60,0.849,0.63,-0.219
20260406,50,0.846,0.78,-0.066
20260406,61,0.779,0.63,-0.149
