shotkey,team_id,pass_points,game_average,recentry5
20260406,10,140.02,15.56,80.38
20260406,17,113.13,11.31,50.8
20260406,11,112.22,12.47,72.28
20260406,14,112.22,11.22,47.73
20260406,3,111.84,12.43,57.05
20260406,1,111.26,12.36,60.02
20260406,12,107.61,11.96,58.18
20260406,15,105.16,11.68,57.09
20260406,7,104.66,11.63,56.29
20260406,6,97.21,9.72,55.59
20260406,18,96.24,9.62,52.38
20260406,33,87.37,9.71,49.74
20260406,19,86.94,9.66,51.0
20260406,5,86.66,9.63,53.26
20260406,39,85.79,9.53,47.09
20260406,34,83.14,9.24,35.83
20260406,13,82.73,9.19,48.52
20260406,16,75.79,8.42,46.63
20260406,4,74.97,8.33,36.34
20260406,9,71.97,8.0,42.05
20260406,35,137.71,15.3,81.16
20260406,48,129.09,14.34,81.05
20260406,28,128.65,14.29,66.06
20260406,24,126.66,14.07,67.18
20260406,21,122.94,13.66,66.69
20260406,59,117.51,13.06,78.61
20260406,40,114.76,12.75,58.53
20260406,29,114.11,12.68,65.0
20260406,27,113.79,12.64,62.31
20260406,45,111.36,12.37,60.45
20260406,30,106.9,11.88,56.71
20260406,8,101.92,11.32,57.14
20260406,20,101.87,11.32,56.25
20260406,54,98.36,10.93,50.8
20260406,58,94.27,10.47,52.14
20260406,26,94.05,10.45,44.79
20260406,41,93.77,10.42,52.69
20260406,57,93.53,10.39,51.55
20260406,31,90.64,10.07,50.09
20260406,43,88.46,9.83,49.75
20260406,23,88.43,9.83,37.18
20260406,42,88.05,9.78,49.45
20260406,37,87.88,9.76,51.72
20260406,38,87.82,9.76,48.77
20260406,46,87.12,9.68,50.98
20260406,47,86.83,9.65,48.45
20260406,2,85.55,9.51,49.51
20260406,44,85.32,9.48,39.45
20260406,60,84.7,10.59,51.93
20260406,32,84.32,9.37,49.56
20260406,25,83.86,9.32,46.66
20260406,36,80.7,8.97,46.9
20260406,61,74.09,9.26,47.87
20260406,52,72.14,9.02,40.83
20260406,55,70.07,7.79,42.2
20260406,50,69.51,7.72,34.2
20260406,51,69.18,8.65,46.15
20260406,53,66.66,7.41,37.03
20260406,22,65.1,7.23,33.96
20260406,49,59.34,6.59,32.47
