shotkey,team_id,save_points,game_average,recentry5
20260406,19,6.22,0.69,4.47
20260406,3,5.93,0.66,3.51
20260406,15,5.24,0.58,3.35
20260406,11,4.69,0.52,0.98
20260406,34,4.37,0.49,2.72
20260406,6,4.01,0.4,1.92
20260406,14,3.99,0.4,1.28
20260406,9,3.9,0.43,2.67
20260406,1,3.84,0.43,1.26
20260406,13,3.71,0.41,3.64
20260406,4,3.71,0.41,3.09
20260406,17,3.4,0.34,2.23
20260406,39,3.28,0.36,1.66
20260406,16,3.18,0.35,1.42
20260406,7,3.08,0.34,1.5
20260406,5,2.99,0.33,0.78
20260406,12,2.92,0.32,2.33
20260406,18,2.9,0.29,1.07
20260406,10,2.6,0.29,1.34
20260406,33,2.0,0.22,1.08
20260406,32,7.22,0.8,4.15
20260406,50,5.98,0.66,3.44
20260406,44,5.71,0.63,3.37
20260406,42,5.64,0.63,4.95
20260406,26,5.48,0.61,2.4
20260406,48,4.73,0.53,2.79
20260406,2,4.52,0.5,2.25
20260406,54,4.49,0.5,0.92
20260406,40,4.36,0.48,1.56
20260406,58,4.2,0.47,2.11
20260406,37,4.06,0.45,2.99
20260406,45,3.99,0.44,1.91
20260406,30,3.9,0.43,0.89
20260406,35,3.8,0.42,2.16
20260406,31,3.64,0.4,1.57
20260406,25,3.59,0.4,2.13
20260406,49,3.41,0.38,1.26
20260406,36,3.26,0.36,2.58
20260406,29,3.22,0.36,1.54
20260406,41,3.21,0.36,1.07
20260406,57,3.04,0.34,1.6
20260406,24,3.04,0.34,1.04
20260406,22,3.02,0.34,1.71
20260406,61,3.01,0.38,2.19
20260406,20,3.01,0.33,2.23
20260406,60,2.98,0.37,1.97
20260406,27,2.96,0.33,1.61
20260406,28,2.83,0.31,1.82
20260406,21,2.58,0.29,1.3
20260406,52,2.55,0.32,1.55
20260406,38,2.51,0.28,1.51
20260406,47,2.45,0.27,1.26
20260406,55,2.45,0.27,1.19
20260406,53,1.95,0.22,1.31
20260406,59,1.85,0.21,0.89
20260406,46,1.8,0.2,0.91
20260406,8,1.42,0.16,1.05
20260406,51,1.3,0.16,0.68
20260406,23,1.19,0.13,0.81
20260406,43,0.95,0.11,0.75
