home_team_id,home_score,away_team_id,away_score,home_goal_points,home_deffence_points,home_attack_points,home_agi,home_save_points,home_attacks,home_chance_construct_rate,home_shooting_success_rate,home_capture_points,home_pass_points,home_dribble_points,away_goal_points,away_deffence_points,away_attack_points,away_agi,away_save_points,away_attacks,away_chance_construct_rate,away_shooting_success_rate,away_capture_points,away_pass_points,away_dribble_points,result,diff_goal_points,diff_attack_points,diff_deffence_points,diff_agi,diff_save_points,diff_chance_construct_rate,diff_shooting_success_rate,diff_attacks,diff_capture_points,diff_pass_points,diff_dribble_points,home_attack_vs_away_defense,away_attack_vs_home_defense,home_overall,away_overall,diff_overall
3,2,7,5,25.3,121.75,128.51,52.6,2.63,122.8,11.6,7.9,887.84,106.48,9.55,36.73,115.84,124.58,51.2,2.65,115.6,10.9,12.9,694.68,104.54,11.37,2,-11.429999999999996,3.9299999999999926,5.909999999999997,1.3999999999999986,-0.020000000000000018,0.6999999999999993,-5.0,7.200000000000003,193.16000000000008,1.9399999999999977,-1.8199999999999985,1.1093749042321386,1.0232442691380477,6.759999999999991,8.739999999999995,-1.980000000000004
4,1,2,1,11.82,107.64,101.57,40.7,3.87,114.9,8.0,6.3,516.79,82.53,8.37,28.0,104.85,109.78,38.1,2.72,112.3,10.1,9.9,700.81,91.1,8.13,0,-16.18,-8.210000000000008,2.7900000000000063,2.6000000000000014,1.15,-2.0999999999999996,-3.6000000000000005,2.6000000000000085,-184.01999999999998,-8.569999999999993,0.23999999999999844,0.968717122678386,1.0198809903492205,-6.070000000000007,4.930000000000007,-11.000000000000014
14,0,5,0,18.95,94.44,84.0,46.3,2.05,125.4,7.9,8.7,679.26,68.27,6.01,24.14,120.33,114.99,51.2,3.53,114.1,10.7,7.1,746.88,88.69,11.22,0,-5.190000000000001,-30.989999999999995,-25.89,-4.900000000000006,-1.48,-2.799999999999999,1.5999999999999996,11.300000000000011,-67.62,-20.42,-5.210000000000001,0.6980802212182979,1.2175983462941182,-10.439999999999998,-5.340000000000003,-5.099999999999994
20,0,17,1,11.79,108.77,87.57,44.6,1.32,125.1,6.8,5.9,780.97,69.93,8.09,16.55,106.8,103.6,40.5,3.16,118.9,8.0,7.9,659.29,85.97,9.94,2,-4.760000000000002,-16.03,1.9699999999999989,4.100000000000001,-1.84,-1.2000000000000002,-2.0,6.199999999999989,121.68000000000006,-16.039999999999992,-1.8499999999999996,0.8199437434509603,0.9524684239709088,-21.200000000000003,-3.200000000000003,-18.0
9,2,19,0,14.76,109.08,85.44,53.0,4.98,121.3,10.4,6.9,795.19,64.94,8.5,14.99,121.31,85.22,46.5,3.7,127.3,8.6,6.9,754.3,65.21,5.09,1,-0.23000000000000043,0.21999999999999886,-12.230000000000004,6.5,1.2800000000000002,1.8000000000000007,0.0,-6.0,40.8900000000001,-0.269999999999996,3.41,0.7043112105917723,0.7812613878564918,-23.64,-36.09,12.450000000000003
16,0,10,1,16.06,105.49,107.15,55.3,3.53,111.6,12.4,5.4,715.73,80.14,11.01,31.37,121.26,126.01,44.3,3.26,118.9,8.0,11.8,724.31,105.97,10.24,2,-15.310000000000002,-18.86,-15.77000000000001,11.0,0.27,4.4,-6.4,-7.300000000000011,-8.579999999999927,-25.83,0.7699999999999996,0.8836383899358081,1.1945206944240503,1.6600000000000108,4.75,-3.089999999999989
1,4,15,0,24.13,83.64,109.37,56.2,1.8,122.0,10.1,14.0,684.56,88.64,7.05,18.81,108.33,97.41,46.9,3.81,114.6,9.4,11.6,662.16,81.75,5.25,1,5.32,11.960000000000008,-24.689999999999998,9.300000000000004,-2.01,0.6999999999999993,2.4000000000000004,7.400000000000006,22.399999999999977,6.890000000000001,1.7999999999999998,1.009600202196972,1.1646340070977992,25.730000000000004,-10.920000000000002,36.650000000000006
8,1,11,0,16.11,114.44,106.9,47.6,4.64,115.9,8.0,9.5,796.13,83.09,10.44,28.15,101.08,103.26,54.8,3.72,122.6,10.0,12.2,790.06,84.04,8.48,1,-12.04,3.6400000000000006,13.36,-7.199999999999996,0.9199999999999995,-2.0,-2.6999999999999993,-6.699999999999989,6.07000000000005,-0.9500000000000028,1.959999999999999,1.0575780512882815,0.902306806858895,-7.539999999999992,2.180000000000007,-9.719999999999999
29,0,31,1,8.24,99.94,91.03,47.7,2.85,117.1,8.4,5.8,562.23,67.65,13.02,30.18,98.21,101.26,46.7,1.75,108.7,11.7,10.1,591.95,80.82,7.3,2,-21.939999999999998,-10.230000000000004,1.730000000000004,1.0,1.1,-3.299999999999999,-4.3,8.399999999999991,-29.720000000000027,-13.169999999999987,5.72,0.9268912608806373,1.0132078233732416,-8.909999999999997,3.0500000000000114,-11.960000000000008
25,1,27,0,14.24,110.4,84.33,51.5,2.1,112.4,11.1,6.9,629.16,66.8,6.83,18.51,110.68,76.56,48.6,2.3,117.0,10.1,7.2,552.17,54.99,9.25,1,-4.270000000000001,7.769999999999996,-0.28000000000000114,2.8999999999999986,-0.19999999999999973,1.0,-0.2999999999999998,-4.599999999999994,76.99000000000001,11.809999999999995,-2.42,0.7619262051024389,0.693478198054511,-26.070000000000007,-34.120000000000005,8.049999999999997
23,0,34,2,7.01,99.33,82.46,51.2,2.9,132.6,7.9,4.1,719.58,66.57,4.96,37.09,108.14,91.59,51.5,2.46,115.7,9.0,23.3,512.25,70.65,8.66,2,-30.080000000000005,-9.13000000000001,-8.810000000000002,-0.29999999999999716,0.43999999999999995,-1.0999999999999996,-19.200000000000003,16.89999999999999,207.33000000000004,-4.0800000000000125,-3.7,0.7625299831209558,0.9220778292481799,-16.870000000000005,-16.549999999999997,-0.3200000000000074
36,0,37,2,31.96,98.85,98.34,54.3,1.81,125.4,10.5,12.0,585.47,78.89,8.14,16.44,102.46,100.95,47.0,1.86,124.1,9.6,6.0,661.63,76.73,10.41,2,15.52,-2.6099999999999994,-3.6099999999999994,7.299999999999997,-0.050000000000000044,0.9000000000000004,6.0,1.3000000000000114,-76.15999999999997,2.1599999999999966,-2.2699999999999996,0.9597890923492981,1.0212442062474247,-0.5099999999999909,-1.509999999999991,1.0
24,2,32,1,31.08,102.89,101.56,56.9,0.87,117.4,12.3,10.9,630.94,83.72,6.13,33.8,123.46,101.24,44.8,3.87,116.1,8.2,17.9,562.56,84.36,6.92,1,-2.719999999999999,0.3200000000000074,-20.569999999999993,12.100000000000001,-3.0,4.100000000000001,-6.999999999999998,1.3000000000000114,68.38000000000011,-0.6400000000000006,-0.79,0.8226145453900418,0.9839633604856292,-1.3299999999999983,-22.22,20.89
26,3,33,2,24.91,84.34,114.77,48.4,6.0,108.7,10.0,14.5,507.82,85.72,11.69,27.97,108.35,102.98,53.2,2.9,120.4,10.2,11.6,621.48,82.21,9.51,1,-3.0599999999999987,11.789999999999992,-24.00999999999999,-4.800000000000004,3.1,-0.1999999999999993,2.9000000000000004,-11.700000000000003,-113.66000000000003,3.510000000000005,2.1799999999999997,1.059252324942102,1.2210100520500293,30.429999999999993,-5.36999999999999,35.79999999999998
39,3,30,2,44.62,91.21,118.26,45.1,2.2,117.4,13.9,13.2,611.15,92.98,12.28,26.08,100.42,109.18,51.0,2.97,120.0,10.4,11.5,657.49,89.32,6.54,1,18.54,9.079999999999998,-9.210000000000008,-5.899999999999999,-0.77,3.5,1.6999999999999993,-2.5999999999999943,-46.34000000000003,3.660000000000011,5.739999999999999,1.1776537365411535,1.19701773960994,27.05000000000001,8.760000000000005,18.290000000000006
52,2,53,1,14.75,96.98,76.54,49.4,3.22,126.9,8.8,6.4,648.22,56.93,9.51,15.65,101.98,85.97,37.7,3.97,126.1,7.3,7.8,626.33,65.06,6.7,1,-0.9000000000000004,-9.429999999999993,-5.0,11.699999999999996,-0.75,1.5000000000000009,-1.3999999999999995,0.8000000000000114,21.889999999999986,-8.130000000000003,2.8099999999999996,0.7505392478388657,0.8864713460021296,-20.439999999999998,-16.010000000000005,-4.429999999999993
54,0,58,0,29.11,88.7,127.04,47.3,2.79,121.7,11.4,9.3,589.11,98.1,12.9,15.45,113.14,87.82,43.9,4.42,119.4,6.9,6.9,565.06,74.19,7.95,0,13.66,39.22000000000001,-24.439999999999998,3.3999999999999986,-1.63,4.5,2.4000000000000004,2.299999999999997,24.050000000000068,23.909999999999997,4.95,1.1228565385490066,0.9900788060790522,38.34,-25.320000000000007,63.66000000000001
13,0,6,1,20.98,105.61,85.92,47.2,3.67,119.3,7.9,9.3,819.31,68.58,9.9,20.62,108.1,118.48,51.5,2.09,126.1,10.1,8.8,769.18,95.4,10.27,2,0.35999999999999943,-32.56,-2.489999999999995,-4.299999999999997,1.58,-2.1999999999999993,0.5,-6.799999999999997,50.129999999999995,-26.820000000000007,-0.3699999999999992,0.7948195379445386,1.1218633536726301,-19.689999999999998,10.38000000000001,-30.070000000000007
18,1,12,2,28.96,95.57,98.73,51.0,1.1,122.6,8.2,12.5,795.64,77.27,7.42,16.72,84.56,97.46,54.2,0.75,125.9,10.6,7.5,778.79,76.18,5.99,2,12.240000000000002,1.2700000000000102,11.009999999999991,-3.200000000000003,0.3500000000000001,-2.4000000000000004,5.0,-3.3000000000000114,16.850000000000023,1.0899999999999892,1.4299999999999997,1.1675731826427174,1.019775973655334,3.160000000000011,12.899999999999991,-9.73999999999998
28,0,35,1,16.69,103.46,83.87,48.8,1.03,116.9,8.3,8.8,657.48,69.14,5.74,14.17,107.38,83.65,46.4,3.85,106.9,10.8,7.4,543.55,67.27,7.13,2,2.5200000000000014,0.21999999999999886,-3.9200000000000017,2.3999999999999986,-2.8200000000000003,-2.5,1.4000000000000004,10.0,113.93000000000006,1.8700000000000045,-1.3899999999999997,0.7810578523879818,0.8085249556809438,-19.58999999999999,-23.72999999999999,4.140000000000001
38,0,22,1,29.83,104.23,103.98,50.9,0.81,116.4,13.6,9.0,594.36,74.39,8.39,20.03,108.95,87.95,63.4,2.96,123.0,9.9,10.6,617.68,65.84,5.32,2,9.799999999999997,16.03,-4.719999999999999,-12.5,-2.15,3.6999999999999993,-1.5999999999999996,-6.599999999999994,-23.319999999999936,8.549999999999997,3.0700000000000003,0.9543826567799305,0.8438068844088185,-0.25,-21.0,20.75
40,2,21,0,13.74,112.08,64.13,46.2,1.42,115.1,7.9,6.3,601.41,51.53,4.83,16.32,86.52,114.31,49.6,2.21,120.9,11.2,6.3,574.22,90.21,7.95,1,-2.58,-50.18000000000001,25.560000000000002,-3.3999999999999986,-0.79,-3.299999999999999,0.0,-5.800000000000011,27.18999999999994,-38.67999999999999,-3.12,0.7412158181673811,1.019896411501034,-47.95,27.790000000000006,-75.74000000000001
46,0,50,1,25.08,105.58,94.0,53.1,1.97,133.0,11.1,7.8,706.02,75.34,10.23,16.0,103.7,62.96,42.3,4.9,126.2,7.7,10.3,596.23,53.26,3.95,2,9.079999999999998,31.04,1.8799999999999955,10.800000000000004,-2.9300000000000006,3.3999999999999995,-2.500000000000001,6.799999999999997,109.78999999999996,22.080000000000005,6.28,0.9064608576219038,0.5963250050838222,-11.579999999999998,-40.74,29.160000000000004
52,1,57,0,14.75,96.98,76.54,49.4,3.22,126.9,8.8,6.4,648.22,56.93,9.51,18.6,103.01,72.35,58.6,2.71,138.9,9.7,8.5,690.73,48.77,10.7,1,-3.8500000000000014,4.190000000000012,-6.030000000000001,-9.200000000000003,0.5100000000000002,-0.8999999999999986,-2.0999999999999996,-12.0,-42.50999999999999,8.159999999999997,-1.1899999999999995,0.7430345846971571,0.746030032374713,-20.439999999999998,-30.66000000000001,10.220000000000013
56,3,60,0,10.42,91.63,70.16,42.9,3.71,125.0,7.1,7.6,484.8,57.32,5.45,8.67,119.61,97.61,38.7,4.08,125.6,8.7,5.3,554.06,77.58,8.15,1,1.75,-27.450000000000003,-27.980000000000004,4.199999999999996,-0.3700000000000001,-1.5999999999999996,2.3,-0.5999999999999943,-69.25999999999993,-20.259999999999998,-2.7,0.5865729799704891,1.065262352366872,-21.47,-22.0,0.5300000000000011
41,1,59,1,29.34,116.31,73.6,52.8,2.98,124.4,10.1,10.2,595.56,49.97,9.52,23.31,99.59,113.57,53.5,1.34,119.6,11.7,8.2,596.29,88.16,13.92,0,6.030000000000001,-39.97,16.72,-0.7000000000000028,1.64,-1.5999999999999996,2.0,4.800000000000011,-0.7300000000000182,-38.19,-4.4,0.7390299488874436,0.9764421824054523,-42.71000000000001,13.97999999999999,-56.69
45,2,48,2,30.16,88.76,119.47,51.1,2.52,127.9,10.7,11.5,682.21,100.25,9.71,33.91,96.08,110.49,48.8,2.76,127.8,10.6,13.6,628.38,94.85,9.63,0,-3.7499999999999964,8.980000000000004,-7.319999999999993,2.3000000000000043,-0.23999999999999977,0.09999999999999964,-2.0999999999999996,0.10000000000000853,53.83000000000004,5.400000000000006,0.08000000000000007,1.2434428347790554,1.2448173451084557,30.709999999999994,14.409999999999997,16.299999999999997
43,1,49,1,34.67,102.11,96.44,59.7,1.61,139.0,11.5,11.6,768.26,77.59,7.91,16.74,110.08,92.58,51.1,2.89,120.4,8.9,8.0,581.05,70.9,10.51,0,17.930000000000003,3.8599999999999994,-7.969999999999999,8.600000000000001,-1.28,2.5999999999999996,3.5999999999999996,18.599999999999994,187.21000000000004,6.689999999999998,-2.5999999999999996,0.8760900366924022,0.9066691894359818,-5.670000000000002,-17.5,11.829999999999998
