Unnamed: 0,Unnamed: 1,Unnamed: 2,AGI,ゴール,シュート,成績順位
1,,サンフレッチェ広島広島,59.0,1.33,15.78,7
2,,京都サンガF.C.京都,55.6,1.11,13.11,5
3,,ファジアーノ岡山岡山,55.4,1.0,12.78,8
4,,名古屋グランパス名古屋,54.1,1.56,15.0,3
5,,柏レイソル柏,53.0,1.33,15.33,7
6,,清水エスパルス清水,52.9,1.1,10.6,4
7,,川崎フロンターレ川崎Ｆ,52.4,1.44,12.22,4
8,,横浜Ｆ・マリノス横浜FM,51.0,1.33,11.78,9
9,,浦和レッズ浦和,50.8,1.44,13.78,6
10,,アビスパ福岡福岡,50.1,0.78,12.11,10
11,,ヴィッセル神戸神戸,49.7,1.8,13.1,1
12,,セレッソ大阪Ｃ大阪,49.6,0.78,11.56,9
13,,ガンバ大阪Ｇ大阪,48.4,1.44,13.22,2
14,,ＦＣ町田ゼルビア町田,47.7,1.3,11.5,3
15,,ＦＣ東京FC東京,47.2,1.3,14.6,2
16,,水戸ホーリーホック水戸,47.0,1.0,11.78,8
17,,鹿島アントラーズ鹿島,45.8,1.78,12.22,1
18,,ジェフユナイテッド千葉千葉,44.4,1.0,11.67,10
19,,東京ヴェルディ東京Ｖ,43.6,1.22,8.33,5
20,,Ｖ・ファーレン長崎長崎,42.4,1.11,10.67,6
1,,鹿児島ユナイテッドＦＣ鹿児島,63.9,1.11,15.67,2
2,,いわきＦＣいわき,60.7,1.44,15.33,1
3,,ＦＣ大阪FC大阪,59.6,0.56,15.22,7
4,,カターレ富山富山,57.4,2.11,18.89,2
5,,ブラウブリッツ秋田秋田,57.4,1.22,12.11,2
6,,ＳＣ相模原相模原,56.6,1.89,12.67,4
7,,ヴァンラーレ八戸八戸,56.3,0.38,13.75,10
8,,ＲＢ大宮アルディージャ大宮,56.0,2.56,17.44,2
9,,愛媛ＦＣ愛媛,54.5,0.89,13.56,8
10,,ＦＣ岐阜岐阜,53.5,1.67,13.89,3
11,,ヴァンフォーレ甲府甲府,52.7,1.22,10.33,4
12,,ツエーゲン金沢金沢,52.0,0.78,12.67,5
13,,横浜ＦＣ横浜FC,51.2,1.67,15.22,5
14,,ベガルタ仙台仙台,50.9,1.56,14.0,1
15,,藤枝ＭＹＦＣ藤枝,50.7,1.33,11.44,6
16,,ジュビロ磐田磐田,50.4,0.56,11.89,8
17,,栃木ＳＣ栃木SC,50.2,1.5,11.38,7
18,,大分トリニータ大分,50.1,1.22,13.11,3
19,,北海道コンサドーレ札幌札幌,49.9,0.78,12.0,7
20,,テゲバジャーロ宮崎宮崎,49.9,1.89,12.22,1
21,,湘南ベルマーレ湘南,49.4,1.78,12.22,3
22,,アルビレックス新潟新潟,49.1,1.11,8.89,4
23,,栃木シティ栃木Ｃ,48.7,1.0,10.11,8
24,,松本山雅ＦＣ松本,48.3,2.0,13.0,5
25,,ロアッソ熊本熊本,48.3,1.11,12.22,4
26,,カマタマーレ讃岐讃岐,48.3,0.78,10.44,6
27,,レノファ山口ＦＣ山口,47.8,1.0,12.33,6
28,,ＦＣ今治今治,46.2,0.56,9.22,9
29,,福島ユナイテッドＦＣ福島,46.2,1.44,11.11,9
30,,レイラック滋賀ＦＣ滋賀,46.2,0.63,9.0,8
31,,ＦＣ琉球琉球,46.2,0.78,10.33,9
32,,ザスパ群馬群馬,45.8,0.78,11.78,9
33,,サガン鳥栖鳥栖,45.7,1.0,13.44,5
34,,ＡＣ長野パルセイロ長野,45.7,0.78,8.11,10
35,,徳島ヴォルティス徳島,45.0,2.44,11.78,1
36,,高知ユナイテッドＳＣ高知,45.0,1.78,12.56,3
37,,奈良クラブ奈良,44.8,1.22,9.33,10
38,,モンテディオ山形山形,43.5,1.11,9.0,6
39,,ギラヴァンツ北九州北九州,41.7,0.89,8.89,10
40,,ガイナーレ鳥取鳥取,32.6,0.63,9.5,7
