Unnamed: 0,Unnamed: 1,攻撃回数,Unnamed: 3,シュート,Unnamed: 5,チャンス 構築率,Unnamed: 7,ゴール,Unnamed: 9,シュート 成功率,Unnamed: 11
,鹿島アントラーズ鹿島,110.3,(17位),12.2,(10位),11.1%,(7位),1.8,(2位),14.6%,(2位)
,水戸ホーリーホック水戸,113.4,(14位),11.8,(13位),10.4%,(14位),1.0,(16位),8.5%,(15位)
,浦和レッズ浦和,113.8,(13位),13.8,(5位),12.1%,(5位),1.4,(4位),10.5%,(8位)
,ジェフユナイテッド千葉千葉,116.8,(11位),11.7,(15位),10.0%,(15位),1.0,(16位),8.6%,(14位)
,柏レイソル柏,112.9,(16位),15.3,(2位),13.6%,(1位),1.3,(7位),8.7%,(13位)
,ＦＣ東京FC東京,109.4,(18位),14.6,(4位),13.4%,(2位),1.3,(10位),8.9%,(12位)
,東京ヴェルディ東京Ｖ,114.1,(12位),8.3,(20位),7.3%,(20位),1.2,(12位),14.7%,(1位)
,ＦＣ町田ゼルビア町田,108.0,(19位),11.5,(17位),10.7%,(11位),1.3,(10位),11.3%,(6位)
,川崎フロンターレ川崎Ｆ,107.9,(20位),12.2,(10位),11.3%,(6位),1.4,(4位),11.8%,(4位)
,横浜Ｆ・マリノス横浜FM,119.9,(6位),11.8,(13位),9.8%,(16位),1.3,(7位),11.3%,(5位)
,清水エスパルス清水,128.9,(1位),10.6,(19位),8.2%,(19位),1.1,(15位),10.4%,(10位)
,名古屋グランパス名古屋,118.4,(10位),15.0,(3位),12.7%,(3位),1.6,(3位),10.4%,(11位)
,京都サンガF.C.京都,121.7,(5位),13.1,(7位),10.8%,(8位),1.1,(13位),8.5%,(16位)
,ガンバ大阪Ｇ大阪,124.9,(3位),13.2,(6位),10.6%,(12位),1.4,(4位),10.9%,(7位)
,セレッソ大阪Ｃ大阪,118.9,(9位),11.6,(16位),9.7%,(17位),0.8,(19位),6.7%,(19位)
,ヴィッセル神戸神戸,125.9,(2位),13.1,(8位),10.4%,(13位),1.8,(1位),13.7%,(3位)
,ファジアーノ岡山岡山,119.0,(8位),12.8,(9位),10.7%,(9位),1.0,(16位),7.8%,(18位)
,サンフレッチェ広島広島,124.9,(3位),15.8,(1位),12.6%,(4位),1.3,(7位),8.5%,(17位)
,アビスパ福岡福岡,113.0,(15位),12.1,(12位),10.7%,(10位),0.8,(19位),6.4%,(20位)
,Ｖ・ファーレン長崎長崎,119.8,(7位),10.7,(18位),8.9%,(18位),1.1,(13位),10.4%,(9位)
,北海道コンサドーレ札幌札幌,126.0,(19位),12.0,(22位),9.5%,(21位),0.8,(29位),6.5%,(35位)
,ヴァンラーレ八戸八戸,136.0,(3位),13.8,(9位),10.1%,(16位),0.4,(40位),2.7%,(40位)
,ベガルタ仙台仙台,125.9,(21位),14.0,(7位),11.1%,(8位),1.6,(11位),11.1%,(17位)
,ブラウブリッツ秋田秋田,128.7,(11位),12.1,(21位),9.4%,(22位),1.2,(16位),10.1%,(19位)
,モンテディオ山形山形,115.4,(36位),9.0,(36位),7.8%,(35位),1.1,(20位),12.4%,(12位)
,福島ユナイテッドＦＣ福島,128.2,(13位),11.1,(28位),8.7%,(28位),1.4,(13位),13.0%,(10位)
,いわきＦＣいわき,129.1,(10位),15.3,(4位),11.9%,(5位),1.4,(13位),9.4%,(23位)
,栃木ＳＣ栃木SC,123.8,(25位),11.4,(27位),9.2%,(27位),1.5,(12位),13.2%,(8位)
,栃木シティ栃木Ｃ,130.6,(6位),10.1,(32位),7.7%,(36位),1.0,(24位),9.9%,(21位)
,ザスパ群馬群馬,126.9,(17位),11.8,(24位),9.3%,(25位),0.8,(29位),6.6%,(32位)
,ＲＢ大宮アルディージャ大宮,136.3,(1位),17.4,(2位),12.8%,(2位),2.6,(1位),14.7%,(5位)
,横浜ＦＣ横浜FC,130.6,(6位),15.2,(5位),11.7%,(6位),1.7,(9位),11.0%,(18位)
,湘南ベルマーレ湘南,126.4,(18位),12.2,(18位),9.7%,(19位),1.8,(7位),14.6%,(6位)
,ＳＣ相模原相模原,136.1,(2位),12.7,(14位),9.3%,(24位),1.9,(5位),14.9%,(4位)
,ヴァンフォーレ甲府甲府,128.4,(12位),10.3,(30位),8.0%,(32位),1.2,(16位),11.8%,(14位)
,松本山雅ＦＣ松本,129.4,(9位),13.0,(13位),10.0%,(18位),2.0,(4位),15.4%,(3位)
,ＡＣ長野パルセイロ長野,125.8,(22位),8.1,(40位),6.5%,(40位),0.8,(29位),9.6%,(22位)
,アルビレックス新潟新潟,122.1,(28位),8.9,(38位),7.3%,(38位),1.1,(20位),12.5%,(11位)
,カターレ富山富山,127.6,(14位),18.9,(1位),14.8%,(1位),2.1,(3位),11.2%,(16位)
,ツエーゲン金沢金沢,131.1,(5位),12.7,(14位),9.7%,(20位),0.8,(29位),6.1%,(36位)
,ジュビロ磐田磐田,127.2,(15位),11.9,(23位),9.3%,(23位),0.6,(37位),4.7%,(38位)
,藤枝ＭＹＦＣ藤枝,123.4,(26位),11.4,(26位),9.3%,(26位),1.3,(15位),11.7%,(15位)
,ＦＣ岐阜岐阜,126.0,(19位),13.9,(8位),11.0%,(10位),1.7,(9位),12.0%,(13位)
,レイラック滋賀ＦＣ滋賀,118.1,(31位),9.0,(36位),7.6%,(37位),0.6,(35位),6.9%,(31位)
,ＦＣ大阪FC大阪,125.1,(23位),15.2,(5位),12.2%,(3位),0.6,(37位),3.7%,(39位)
,奈良クラブ奈良,116.3,(34位),9.3,(34位),8.0%,(33位),1.2,(16位),13.1%,(9位)
,ガイナーレ鳥取鳥取,116.8,(33位),9.5,(33位),8.1%,(31位),0.6,(35位),6.6%,(33位)
,レノファ山口ＦＣ山口,122.3,(27位),12.3,(17位),10.1%,(17位),1.0,(24位),8.1%,(26位)
,カマタマーレ讃岐讃岐,127.2,(15位),10.4,(29位),8.2%,(30位),0.8,(29位),7.5%,(28位)
,徳島ヴォルティス徳島,116.2,(35位),11.8,(24位),10.1%,(15位),2.4,(2位),20.8%,(1位)
,愛媛ＦＣ愛媛,124.9,(24位),13.6,(10位),10.9%,(12位),0.9,(27位),6.6%,(34位)
,ＦＣ今治今治,129.8,(8位),9.2,(35位),7.1%,(39位),0.6,(37位),6.0%,(37位)
,高知ユナイテッドＳＣ高知,115.0,(38位),12.6,(16位),10.9%,(11位),1.8,(7位),14.2%,(7位)
,ギラヴァンツ北九州北九州,113.4,(40位),8.9,(38位),7.8%,(34位),0.9,(27位),10.0%,(20位)
,サガン鳥栖鳥栖,120.9,(30位),13.4,(11位),11.1%,(8位),1.0,(24位),7.4%,(29位)
