Unnamed: 0,Unnamed: 1,Unnamed: 2,ドリブルポイント,試合平均,最近５試合,順位,勝点,得点,失点
1,,柏レイソル柏,18.81,2.09,10.31,7,11,14,13
2,,ＦＣ町田ゼルビア町田,14.0,1.4,9.1,3,19,13,15
3,,川崎フロンターレ川崎Ｆ,13.36,1.48,8.03,4,14,14,16
4,,ガンバ大阪Ｇ大阪,13.31,1.48,6.93,2,17,13,11
5,,浦和レッズ浦和,13.25,1.47,7.77,6,11,13,11
6,,名古屋グランパス名古屋,12.65,1.41,8.41,3,16,14,10
7,,ＦＣ東京FC東京,12.62,1.26,5.75,2,20,13,7
8,,Ｖ・ファーレン長崎長崎,12.52,1.39,5.08,6,12,10,14
9,,横浜Ｆ・マリノス横浜FM,12.27,1.36,5.62,9,9,12,15
10,,アビスパ福岡福岡,12.25,1.36,8.22,10,8,7,16
11,,セレッソ大阪Ｃ大阪,11.18,1.24,7.14,9,11,7,10
12,,水戸ホーリーホック水戸,10.57,1.17,6.78,8,10,9,15
13,,ファジアーノ岡山岡山,10.24,1.14,4.96,8,11,9,12
14,,ジェフユナイテッド千葉千葉,10.19,1.13,5.49,10,8,9,14
15,,サンフレッチェ広島広島,9.48,1.05,5.67,7,11,12,13
16,,京都サンガF.C.京都,9.12,1.01,5.13,5,14,10,10
17,,ヴィッセル神戸神戸,8.62,0.86,2.95,1,22,19,8
18,,清水エスパルス清水,7.54,0.75,2.97,4,16,12,9
19,,鹿島アントラーズ鹿島,6.97,0.77,4.57,1,23,16,5
20,,東京ヴェルディ東京Ｖ,6.02,0.67,3.17,5,13,12,14
1,,カターレ富山富山,17.41,1.93,10.81,2,18,20,14
2,,サガン鳥栖鳥栖,14.69,1.63,10.7,5,12,9,9
3,,湘南ベルマーレ湘南,14.42,1.6,9.09,3,21,18,7
4,,ＳＣ相模原相模原,14.14,1.57,8.46,4,12,17,16
5,,ＲＢ大宮アルディージャ大宮,13.99,1.55,6.19,2,19,23,10
6,,ベガルタ仙台仙台,13.82,1.54,7.46,1,23,14,6
7,,栃木シティ栃木Ｃ,13.74,1.53,8.9,8,9,9,18
8,,徳島ヴォルティス徳島,13.36,1.48,5.86,1,21,22,5
9,,横浜ＦＣ横浜FC,12.97,1.44,8.21,5,11,16,16
10,,ＦＣ岐阜岐阜,12.94,1.44,9.86,3,18,15,10
11,,藤枝ＭＹＦＣ藤枝,12.76,1.42,6.64,6,15,12,12
12,,栃木ＳＣ栃木SC,12.23,1.53,6.8,7,10,13,14
13,,ザスパ群馬群馬,11.85,1.32,5.98,9,7,8,20
14,,ＦＣ大阪FC大阪,11.84,1.32,4.59,7,11,5,6
15,,ロアッソ熊本熊本,11.81,1.31,4.77,4,13,11,8
16,,福島ユナイテッドＦＣ福島,11.53,1.28,6.15,9,8,13,23
17,,レノファ山口ＦＣ山口,10.83,1.2,5.74,6,12,9,10
18,,ツエーゲン金沢金沢,10.17,1.13,7.18,5,12,8,14
19,,テゲバジャーロ宮崎宮崎,10.07,1.12,6.21,1,24,18,7
20,,愛媛ＦＣ愛媛,9.68,1.08,5.15,8,10,8,10
21,,奈良クラブ奈良,9.5,1.06,6.4,10,8,11,21
22,,ヴァンフォーレ甲府甲府,9.31,1.03,5.68,4,17,11,6
23,,いわきＦＣいわき,9.18,1.02,4.14,1,20,13,7
24,,ギラヴァンツ北九州北九州,9.11,1.01,3.76,10,7,8,16
25,,ＦＣ今治今治,8.97,1.0,6.51,9,9,5,9
26,,鹿児島ユナイテッドＦＣ鹿児島,8.9,0.99,4.33,2,20,10,5
27,,ジュビロ磐田磐田,8.76,0.97,5.96,8,8,5,11
28,,ＡＣ長野パルセイロ長野,8.58,0.95,3.71,10,5,8,22
29,,カマタマーレ讃岐讃岐,8.54,0.95,3.04,6,12,7,13
30,,大分トリニータ大分,8.29,0.92,3.94,3,14,11,10
31,,北海道コンサドーレ札幌札幌,8.28,0.92,5.52,7,10,7,13
32,,モンテディオ山形山形,8.01,0.89,4.73,6,11,10,11
33,,ブラウブリッツ秋田秋田,7.87,0.87,4.82,2,22,13,6
34,,アルビレックス新潟新潟,7.77,0.86,3.56,4,16,10,9
35,,ガイナーレ鳥取鳥取,6.77,0.85,4.12,7,11,5,8
36,,松本山雅ＦＣ松本,6.26,0.7,5.02,5,15,18,11
37,,ＦＣ琉球琉球,6.21,0.69,4.61,9,9,7,12
38,,ヴァンラーレ八戸八戸,6.2,0.77,3.88,10,6,4,8
39,,高知ユナイテッドＳＣ高知,6.03,0.67,3.5,3,18,16,11
40,,レイラック滋賀ＦＣ滋賀,5.28,0.66,3.2,8,10,5,8
