Unnamed: 0,Unnamed: 1,期待値,ゴール,差分,成績順位
,柏レイソル柏,1.838,1.33,-0.508,7
,ヴィッセル神戸神戸,1.643,1.8,0.157,1
,名古屋グランパス名古屋,1.587,1.56,-0.027,3
,浦和レッズ浦和,1.579,1.44,-0.139,6
,鹿島アントラーズ鹿島,1.551,1.78,0.229,1
,サンフレッチェ広島広島,1.542,1.33,-0.212,7
,ＦＣ東京FC東京,1.529,1.3,-0.229,2
,横浜Ｆ・マリノス横浜FM,1.335,1.33,-0.005,9
,ファジアーノ岡山岡山,1.319,1.0,-0.319,8
,川崎フロンターレ川崎Ｆ,1.315,1.44,0.125,4
,ガンバ大阪Ｇ大阪,1.296,1.44,0.144,2
,セレッソ大阪Ｃ大阪,1.276,0.78,-0.496,9
,ジェフユナイテッド千葉千葉,1.27,1.0,-0.27,10
,清水エスパルス清水,1.262,1.1,-0.162,4
,京都サンガF.C.京都,1.208,1.11,-0.098,5
,ＦＣ町田ゼルビア町田,1.173,1.3,0.127,3
,アビスパ福岡福岡,1.117,0.78,-0.337,10
,水戸ホーリーホック水戸,1.105,1.0,-0.105,8
,Ｖ・ファーレン長崎長崎,1.097,1.11,0.013,6
,東京ヴェルディ東京Ｖ,0.814,1.22,0.406,5
,ＲＢ大宮アルディージャ大宮,1.957,2.56,0.603,2
,カターレ富山富山,1.8,2.11,0.31,2
,鹿児島ユナイテッドＦＣ鹿児島,1.739,1.11,-0.629,2
,いわきＦＣいわき,1.692,1.44,-0.252,1
,ＦＣ岐阜岐阜,1.665,1.67,0.005,3
,大分トリニータ大分,1.643,1.22,-0.423,3
,ＳＣ相模原相模原,1.596,1.89,0.294,4
,ＦＣ大阪FC大阪,1.516,0.56,-0.956,7
,横浜ＦＣ横浜FC,1.484,1.67,0.186,5
,松本山雅ＦＣ松本,1.43,2.0,0.57,5
,ブラウブリッツ秋田秋田,1.377,1.22,-0.157,2
,ザスパ群馬群馬,1.368,0.78,-0.588,9
,北海道コンサドーレ札幌札幌,1.355,0.78,-0.575,7
,愛媛ＦＣ愛媛,1.347,0.89,-0.457,8
,藤枝ＭＹＦＣ藤枝,1.327,1.33,0.003,6
,福島ユナイテッドＦＣ福島,1.291,1.44,0.149,9
,ヴァンラーレ八戸八戸,1.284,0.38,-0.904,10
,レノファ山口ＦＣ山口,1.283,1.0,-0.283,6
,ジュビロ磐田磐田,1.261,0.56,-0.701,8
,ツエーゲン金沢金沢,1.261,0.78,-0.481,5
,サガン鳥栖鳥栖,1.247,1.0,-0.247,5
,ベガルタ仙台仙台,1.246,1.56,0.314,1
,徳島ヴォルティス徳島,1.231,2.44,1.209,1
,高知ユナイテッドＳＣ高知,1.21,1.78,0.57,3
,テゲバジャーロ宮崎宮崎,1.201,1.89,0.689,1
,湘南ベルマーレ湘南,1.169,1.78,0.611,3
,ロアッソ熊本熊本,1.151,1.11,-0.041,4
,栃木ＳＣ栃木SC,1.057,1.5,0.443,7
,アルビレックス新潟新潟,0.995,1.11,0.115,4
,栃木シティ栃木Ｃ,0.987,1.0,0.013,8
,カマタマーレ讃岐讃岐,0.982,0.78,-0.202,6
,ＦＣ今治今治,0.955,0.56,-0.395,9
,奈良クラブ奈良,0.95,1.22,0.27,10
,ギラヴァンツ北九州北九州,0.946,0.89,-0.056,10
,ＦＣ琉球琉球,0.936,0.78,-0.156,9
,ヴァンフォーレ甲府甲府,0.902,1.22,0.318,4
,モンテディオ山形山形,0.86,1.11,0.25,6
,ガイナーレ鳥取鳥取,0.849,0.63,-0.219,7
,ＡＣ長野パルセイロ長野,0.846,0.78,-0.066,10
,レイラック滋賀ＦＣ滋賀,0.779,0.63,-0.149,8
