Unnamed: 0,Unnamed: 1,Unnamed: 2,ゴールポイント,試合平均,最近５試合,順位,勝点,得点,失点
1,,名古屋グランパス名古屋,44.52,4.95,34.9,3,16,14,10
2,,サンフレッチェ広島広島,41.98,4.66,17.89,7,11,12,13
3,,ヴィッセル神戸神戸,41.84,4.18,18.57,1,22,19,8
4,,ガンバ大阪Ｇ大阪,41.83,4.65,30.88,2,17,13,11
5,,ＦＣ東京FC東京,39.47,3.95,16.18,2,20,13,7
6,,東京ヴェルディ東京Ｖ,37.57,4.17,10.34,5,13,12,14
7,,川崎フロンターレ川崎Ｆ,37.08,4.12,16.41,4,14,14,16
8,,鹿島アントラーズ鹿島,33.8,3.76,19.05,1,23,16,5
9,,Ｖ・ファーレン長崎長崎,33.43,3.71,14.24,6,12,10,14
10,,横浜Ｆ・マリノス横浜FM,32.99,3.67,21.09,9,9,12,15
11,,柏レイソル柏,32.74,3.64,14.93,7,11,14,13
12,,浦和レッズ浦和,31.63,3.51,16.86,6,11,13,11
13,,京都サンガF.C.京都,31.36,3.48,10.67,5,14,10,10
14,,ＦＣ町田ゼルビア町田,30.48,3.05,5.54,3,19,13,15
15,,清水エスパルス清水,27.58,2.76,23.06,4,16,12,9
16,,ジェフユナイテッド千葉千葉,26.54,2.95,20.38,10,8,9,14
17,,水戸ホーリーホック水戸,25.7,2.86,8.65,8,10,9,15
18,,ファジアーノ岡山岡山,22.31,2.48,12.8,8,11,9,12
19,,アビスパ福岡福岡,22.12,2.46,14.82,10,8,7,16
20,,セレッソ大阪Ｃ大阪,14.79,1.64,6.32,9,11,7,10
1,,徳島ヴォルティス徳島,72.87,8.1,31.02,1,21,22,5
2,,ＲＢ大宮アルディージャ大宮,69.17,7.69,32.44,2,19,23,10
3,,カターレ富山富山,59.68,6.63,33.91,2,18,20,14
4,,松本山雅ＦＣ松本,54.52,6.06,42.08,5,15,18,11
5,,テゲバジャーロ宮崎宮崎,53.43,5.94,25.3,1,24,18,7
6,,湘南ベルマーレ湘南,51.22,5.69,25.57,3,21,18,7
7,,高知ユナイテッドＳＣ高知,47.78,5.31,14.37,3,18,16,11
8,,ＳＣ相模原相模原,45.95,5.11,21.9,4,12,17,16
9,,ＦＣ岐阜岐阜,43.49,4.83,23.29,3,18,15,10
10,,ベガルタ仙台仙台,42.61,4.73,17.14,1,23,14,6
11,,横浜ＦＣ横浜FC,41.34,4.59,25.64,5,11,16,16
12,,栃木ＳＣ栃木SC,38.99,4.87,17.06,7,10,13,14
13,,藤枝ＭＹＦＣ藤枝,38.45,4.27,21.07,6,15,12,12
14,,ヴァンフォーレ甲府甲府,34.87,3.87,11.68,4,17,11,6
15,,奈良クラブ奈良,32.81,3.65,23.67,10,8,11,21
16,,いわきＦＣいわき,32.49,3.61,18.96,1,20,13,7
17,,福島ユナイテッドＦＣ福島,29.4,3.27,24.39,9,8,13,23
18,,大分トリニータ大分,29.31,3.26,13.06,3,14,11,10
19,,サガン鳥栖鳥栖,28.73,3.19,17.17,5,12,9,9
20,,鹿児島ユナイテッドＦＣ鹿児島,28.08,3.12,5.6,2,20,10,5
21,,モンテディオ山形山形,27.5,3.06,9.89,6,11,10,11
22,,ブラウブリッツ秋田秋田,26.69,2.97,14.57,2,22,13,6
23,,アルビレックス新潟新潟,25.79,2.87,11.49,4,16,10,9
24,,レノファ山口ＦＣ山口,25.77,2.86,17.04,6,12,9,10
25,,栃木シティ栃木Ｃ,25.31,2.81,15.24,8,9,9,18
26,,ギラヴァンツ北九州北九州,23.66,2.63,15.69,10,7,8,16
27,,ロアッソ熊本熊本,22.54,2.5,2.61,4,13,11,8
28,,愛媛ＦＣ愛媛,21.5,2.39,12.94,8,10,8,10
29,,ＡＣ長野パルセイロ長野,21.49,2.39,15.75,10,5,8,22
30,,カマタマーレ讃岐讃岐,20.06,2.23,12.15,6,12,7,13
31,,ＦＣ琉球琉球,18.74,2.08,12.87,9,9,7,12
32,,ＦＣ今治今治,18.1,2.01,11.58,9,9,5,9
33,,ツエーゲン金沢金沢,17.58,1.95,7.0,5,12,8,14
34,,レイラック滋賀ＦＣ滋賀,16.52,2.06,15.23,8,10,5,8
35,,ガイナーレ鳥取鳥取,15.65,1.96,2.61,7,11,5,8
36,,北海道コンサドーレ札幌札幌,15.26,1.7,9.69,7,10,7,13
37,,ザスパ群馬群馬,14.68,1.63,11.69,9,7,8,20
38,,ジュビロ磐田磐田,14.46,1.61,8.09,8,8,5,11
39,,ＦＣ大阪FC大阪,11.46,1.27,5.34,7,11,5,6
40,,ヴァンラーレ八戸八戸,5.95,0.74,3.34,10,6,4,8
